Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675632816.2651951,0,77616,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.125,0.0,19,T
1675632817.2655141,0,77617,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.125,0.0,19,T
1675632818.265279,0,77618,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.125,0.0,19,T
1675632819.2647436,0,77619,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.125,0.0,19,T
1675632820.2649946,0,77620,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.25,0.0,19,T
1675632821.264982,0,77621,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
1675632822.2645996,0,77622,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
1675632823.2646744,0,77623,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
1675632824.2659688,0,77624,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
1675632825.2653358,0,77625,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.40625,0.0,19,T
1675632826.2648208,0,77626,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.40625,0.0,19,T
1675632827.2657824,0,77627,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.53125,0.0,19,T
1675632828.266374,0,77628,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.53125,0.0,19,T
1675632829.265847,0,77629,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.0,327793.6875,0.0,19,T
1675632830.2655709,0,77630,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.0,327793.6875,0.0,19,T
1675632831.264338,0,77631,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
1675632832.2647505,0,77632,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
1675632833.2649486,0,77633,0,GPS1_FRAME,42.33701705932617,-71.09036254882812,1.5,0.0,4689312.0,327793.8125,0.0,19,T
