time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:25:03.261926,0,77103,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
2023/02/05/16:25:04.263522,0,77104,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
2023/02/05/16:25:05.262486,0,77105,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:06.261870,0,77106,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:07.263627,0,77107,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:08.261770,0,77108,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:09.262131,0,77109,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:10.263184,0,77110,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:11.262722,0,77111,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:12.262034,0,77112,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:13.262803,0,77113,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:14.261166,0,77114,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:15.262157,0,77115,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:16.262688,0,77116,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:17.262844,0,77117,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:18.262761,0,77118,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:19.264002,0,77119,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:20.263122,0,77120,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:21.260716,0,77121,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
2023/02/05/16:25:22.262754,0,77122,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
2023/02/05/16:25:23.262334,0,77123,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
2023/02/05/16:25:24.260149,0,77124,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2999999523162842,0.0,4689275.0,327819.8125,0.0,19,T
2023/02/05/16:25:25.261242,0,77125,0,GPS1_FRAME,42.33668518066406,-71.09003448486328,1.2999999523162842,0.0,4689275.0,327819.96875,0.0,19,T
