time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/05/16:33:37.265514,0,77617,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.125,0.0,19,T
2023/02/05/16:33:38.265279,0,77618,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.125,0.0,19,T
2023/02/05/16:33:39.264744,0,77619,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.125,0.0,19,T
2023/02/05/16:33:40.264995,0,77620,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.25,0.0,19,T
2023/02/05/16:33:41.264982,0,77621,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
2023/02/05/16:33:42.264600,0,77622,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
2023/02/05/16:33:43.264674,0,77623,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
2023/02/05/16:33:44.265969,0,77624,0,GPS1_FRAME,42.33702087402344,-71.09037017822266,1.5,0.0,4689312.5,327793.28125,0.0,19,T
2023/02/05/16:33:45.265336,0,77625,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.40625,0.0,19,T
2023/02/05/16:33:46.264821,0,77626,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.40625,0.0,19,T
2023/02/05/16:33:47.265782,0,77627,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.53125,0.0,19,T
2023/02/05/16:33:48.266374,0,77628,0,GPS1_FRAME,42.33701705932617,-71.09037017822266,1.5,0.0,4689312.5,327793.53125,0.0,19,T
