Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675632271.2640698,0,77071,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632272.264001,0,77072,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632273.2627983,0,77073,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632274.2633479,0,77074,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632275.2605398,0,77075,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2999999523162842,0.0,4689275.0,327819.6875,0.0,19,T
1675632276.2615042,0,77076,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2999999523162842,0.0,4689275.0,327819.6875,0.0,19,T
1675632277.260852,0,77077,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2999999523162842,0.0,4689275.0,327819.6875,0.0,19,T
1675632278.2793531,0,77078,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632279.2619565,0,77079,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632280.2642524,0,77080,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632281.2792976,0,77081,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632282.2623656,0,77082,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632283.2644458,0,77083,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632284.2618315,0,77084,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632285.2627952,0,77085,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632286.263356,0,77086,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632287.262561,0,77087,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632288.263847,0,77088,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632289.2637634,0,77089,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632290.2632642,0,77090,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632291.2633245,0,77091,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632292.2634141,0,77092,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632293.2621398,0,77093,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632294.2616694,0,77094,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632295.2641842,0,77095,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632296.2634816,0,77096,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632297.2788568,0,77097,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632298.262827,0,77098,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632299.263477,0,77099,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632300.2626076,0,77100,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632301.2631338,0,77101,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632302.2627296,0,77102,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632303.261926,0,77103,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632304.2635221,0,77104,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.8125,0.0,19,T
1675632305.2624862,0,77105,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632306.2618701,0,77106,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632307.2636266,0,77107,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632308.2617705,0,77108,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632309.262131,0,77109,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632310.263184,0,77110,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632311.2627225,0,77111,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632312.2620342,0,77112,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632313.2628033,0,77113,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632314.2611656,0,77114,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
1675632315.2621574,0,77115,0,GPS1_FRAME,42.33668518066406,-71.09004211425781,1.2000000476837158,0.0,4689275.0,327819.6875,0.0,19,T
